Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.8848,0.9018912529550828,0.9259708737864077,0.9137724550898204,0.9590072347063323
KNN,0.8693333333333333,0.9061475409836065,0.8944174757281553,0.9002442996742671,0.9355457176717262
Gradient Boosting,0.8568,0.8722585609849942,0.9170711974110033,0.8941037270755275,0.9408365873052048
SVM,0.8506666666666667,0.8567164179104477,0.9288025889967637,0.8913043478260869,0.927982607077199
Decision Tree,0.8522666666666666,0.8904723127035831,0.8847087378640777,0.8875811688311688,0.8372776663577293
Logistic Regression,0.7733333333333333,0.8165495706479313,0.8462783171521036,0.8311481922924115,0.8750508037437137
Gaussian Naive Bayes,0.7344,0.9472727272727273,0.6322815533980582,0.7583697234352256,0.8659395242363929
