Model,Accuracy,Precision,Recall,F1 Weighted,F1 Macro,ROC-AUC
Random Forest,0.7730666666666667,0.7736873508784107,0.7730666666666667,0.773028930832853,0.786307457262223,0.9649814007822702
Gradient Boosting,0.7610666666666667,0.7620316563231333,0.7610666666666667,0.7611606336427763,0.7742287385626895,0.9631293999909916
KNN,0.7253333333333334,0.7245927243661797,0.7253333333333334,0.7244825466119117,0.7438283797498079,0.9334483711468817
Decision Tree,0.7210666666666666,0.7203730903596773,0.7210666666666666,0.7207008413245412,0.7338355675750879,0.8343840962025486
SVM,0.7208,0.7171089129299602,0.7208,0.7156814896489281,0.7329607761155302,0.9514067520363231
Logistic Regression,0.6810666666666667,0.6796727741615857,0.6810666666666667,0.6799549110653064,0.6969857388280384,0.9269622571508352
Gaussian Naive Bayes,0.6626666666666666,0.6546109982379305,0.6626666666666666,0.6494590514814939,0.6640886413646726,0.9274212552867652
